TITLE = "Mode Shapes"
VARIABLES = x,y,z,u,v,w
ZONE T="undeformed Ntr=01" I=0102 J=0031
    -0.457500000    0.000000000    0.000000000    0.000000000    0.000000000    0.000000000
    -0.455694457    0.000000000    0.009409791    0.000000000    0.000000000    0.000000000
    -0.450284952    0.000000000    0.016735680    0.000000000    0.000000000    0.000000000
    -0.441292834    0.000000000    0.024459733    0.000000000    0.000000000    0.000000000
    -0.428753592    0.000000000    0.032149330    0.000000000    0.000000000    0.000000000
    -0.412716712    0.000000000    0.039488114    0.000000000    0.000000000    0.000000000
    -0.393245485    0.000000000    0.046469308    0.000000000    0.000000000    0.000000000
    -0.370416753    0.000000000    0.053069394    0.000000000    0.000000000    0.000000000
    -0.344320612    0.000000000    0.059252221    0.000000000    0.000000000    0.000000000
    -0.315060052    0.000000000    0.064975850    0.000000000    0.000000000    0.000000000
    -0.282750550    0.000000000    0.070207179    0.000000000    0.000000000    0.000000000
    -0.247519617    0.000000000    0.074909031    0.000000000    0.000000000    0.000000000
    -0.209506294    0.000000000    0.079055078    0.000000000    0.000000000    0.000000000
    -0.168860602    0.000000000    0.082618855    0.000000000    0.000000000    0.000000000
    -0.125742951    0.000000000    0.085581295    0.000000000    0.000000000    0.000000000
    -0.080323506    0.000000000    0.087932855    0.000000000    0.000000000    0.000000000
    -0.032781517    0.000000000    0.089667037    0.000000000    0.000000000    0.000000000
     0.016695388    0.000000000    0.090790771    0.000000000    0.000000000    0.000000000
     0.067911948    0.000000000    0.091310665    0.000000000    0.000000000    0.000000000
     0.120666034    0.000000000    0.091246918    0.000000000    0.000000000    0.000000000
     0.174749450    0.000000000    0.090621971    0.000000000    0.000000000    0.000000000
     0.229948753    0.000000000    0.089465447    0.000000000    0.000000000    0.000000000
     0.286046097    0.000000000    0.087811768    0.000000000    0.000000000    0.000000000
     0.342820091    0.000000000    0.085696191    0.000000000    0.000000000    0.000000000
     0.400046675    0.000000000    0.083163887    0.000000000    0.000000000    0.000000000
     0.457500000    0.000000000    0.080253027    0.000000000    0.000000000    0.000000000
     0.514953325    0.000000000    0.077010296    0.000000000    0.000000000    0.000000000
     0.572179909    0.000000000    0.073477410    0.000000000    0.000000000    0.000000000
     0.628953903    0.000000000    0.069699228    0.000000000    0.000000000    0.000000000
     0.685051247    0.000000000    0.065718099    0.000000000    0.000000000    0.000000000
     0.740250550    0.000000000    0.061576989    0.000000000    0.000000000    0.000000000
     0.794333966    0.000000000    0.057313174    0.000000000    0.000000000    0.000000000
     0.847088052    0.000000000    0.052968252    0.000000000    0.000000000    0.000000000
