TITLE = "35% Deflection"
VARIABLES = X,Y
ZONE T= "u - 08 terms Planform 01", I= 0050
  0.3884082E+01 -0.1199001E+00
  0.3983673E+01 -0.1474688E+00
  0.4083265E+01 -0.1748240E+00
  0.4182857E+01 -0.2015455E+00
  0.4282449E+01 -0.2271522E+00
  0.4382041E+01 -0.2510981E+00
  0.4481633E+01 -0.2727667E+00
  0.4581224E+01 -0.2914669E+00
  0.4680816E+01 -0.3064275E+00
  0.4780408E+01 -0.3167928E+00
  0.4880000E+01 -0.3216173E+00
